id,channel,sub_branch,branch,area,region,tgl_transaksi,product_code,product,jenis_product,jenis_transaksi,jumlah_transaksi,total_transaksi
57,"PEGADAIAN DIGITAL",GORONTALO,GORONTALO," GORONTALO"," MANADO","2024-07-29 00:00:00",17,"ARRUM HAJI",CC,Cicil,1,1339000
58,"PEGADAIAN DIGITAL"," KOJO"," MADIUN"," MADIUN"," SURABAYA","2024-07-29 00:00:00",12,"GADAI FLEKSI",TB,Tebus,1,1144100
59,"PEGADAIAN DIGITAL"," PANGANDARAN"," BANJAR"," TASIKMALAYA"," BANDUNG","2024-07-29 00:00:00",62,"TABUNGAN EMAS",SL,"Sale (TE)",1,5000000
60,"PEGADAIAN DIGITAL"," WARUJAYENG"," NGANJUK"," MADIUN"," SURABAYA","2024-07-29 00:00:00",1,"GADAI KCA",TB,Tebus,1,10991900
61,"PEGADAIAN DIGITAL"," SIPOHOLON"," TARUTUNG"," RANTAU PRAPAT"," MEDAN","2024-07-29 00:00:00",12,"GADAI FLEKSI",TB,Tebus,1,18696500
62,"PEGADAIAN DIGITAL"," BANDARJAYA"," BANDARJAYA"," LAMPUNG"," PALEMBANG","2024-07-29 00:00:00",3,KREASI,CC,Cicil,1,1343700
63,"PEGADAIAN DIGITAL"," PASAR SENEN"," PASAR SENEN"," SENEN"," JAKARTA 1","2024-07-29 00:00:00",32,"GADAI TAB EMAS",TB,Tebus,1,21282800
64,"PEGADAIAN DIGITAL"," CAHAYA BARU"," PAMULANG"," CIRENDEU"," JAKARTA 2","2024-07-29 00:00:00",1,"GADAI KCA",UG,"Ulang Gadai",1,433600
65,"PDS SYARIAH","BOGOR BARU","BOGOR BARU"," BOGOR"," JAKARTA 1","2024-07-29 00:00:00",76,"ARRUM EXPRESS LOAN",CC,Cicil,1,519900
66,"PEGADAIAN DIGITAL"," GABURAYA"," BEKASI UTAMA"," BEKASI"," JAKARTA 1","2024-07-29 00:00:00",1,"GADAI KCA",TB,Tebus,1,6011300
67,"PEGADAIAN DIGITAL"," RAYA MUCHTAR"," BOJONGSARI"," BOGOR"," JAKARTA 1","2024-07-29 00:00:00",1,"GADAI KCA",UG,"Ulang Gadai",1,2036500
68,"PEGADAIAN DIGITAL"," KEBUN RAJA"," OEPURA"," KUPANG"," DENPASAR","2024-07-29 00:00:00",1,"GADAI KCA",UG,"Ulang Gadai",1,298700
69,"PEGADAIAN DIGITAL"," TEBON"," MAGETAN"," MADIUN"," SURABAYA","2024-07-29 00:00:00",37,"MULIA ULTIMATE KONVEN",CC,Cicil,1,70302
70,"PEGADAIAN DIGITAL"," SUKO SDA"," SIDOARJO"," SURABAYA 2"," SURABAYA","2024-07-29 00:00:00",1,"GADAI KCA",UG,"Ulang Gadai",1,1481800
71,"PEGADAIAN DIGITAL"," PONOROGO"," PONOROGO"," MADIUN"," SURABAYA","2024-07-29 00:00:00",62,"TABUNGAN EMAS",OP,"Open Kredit",1,102500
72,"PEGADAIAN DIGITAL"," CILACAP"," CILACAP"," PURWOKERTO"," SEMARANG","2024-07-29 00:00:00",32,"GADAI TAB EMAS",CC,Cicil,1,1153700
73,"PEGADAIAN DIGITAL"," SIDOARJO"," SIDOARJO"," SURABAYA 2"," SURABAYA","2024-07-29 00:00:00",32,"GADAI TAB EMAS",OP,"Open Kredit",1,12192000
74,"PEGADAIAN DIGITAL",BATURAJA,BATURAJA," PALEMBANG"," PALEMBANG","2024-07-29 00:00:00",17,"ARRUM HAJI",CC,Cicil,1,7169100
75,"PEGADAIAN DIGITAL"," PRAFI"," MANOKWARI"," SORONG"," MANADO","2024-07-29 00:00:00",62,"TABUNGAN EMAS",BB,"Buyback TE",1,25640000
76,"PEGADAIAN DIGITAL"," GONGSENG"," CIBUBUR"," KRAMATJATI"," JAKARTA 1","2024-07-29 00:00:00",32,"GADAI TAB EMAS",OP,"Open Kredit",1,1448000
77,"PEGADAIAN DIGITAL"," BIAK"," PETAMBURAN"," SENEN"," JAKARTA 1","2024-07-29 00:00:00",67,"TABUNGAN EMAS RENCANA",CC,Cicil,1,98596
78,"PEGADAIAN DIGITAL"," BRI UNIT AMPAH"," TABALONG"," BANJARMASIN"," BALIKPAPAN","2024-07-29 00:00:00",12,"GADAI FLEKSI",TB,Tebus,1,50200
79,"PEGADAIAN DIGITAL"," SEDANAU"," NATUNA"," BATAM"," PEKANBARU","2024-07-29 00:00:00",12,"GADAI FLEKSI",TB,Tebus,1,2030800
